title,price,location,review
PNY NVIDIA GeForce RTX 4070 Ti Graphics Card - 12 GB GDDR6X - 2.31 GHz Core GPU,"IDR11,764,558.82",from United States,no review
GIGABYTE AORUS GeForce RTX 4070 Ti ELITE 12G | NVIDIA GDDR6X GPU Graphics Card,"IDR19,227,141.40",from France,no review
Gigabyte GeForce RTX 4070 Ti WINDFORCE OC 12G NVIDIA 12 GB GDDR6X,"IDR17,341,176.47",from Italy,no review
Asus GeForce RTX 4070 TUF OC 12GB GDDR6X PCI-Express Graphics Card :: 90YV0IZ0,"IDR12,859,544.12",from United Kingdom,no review
ASUS nVidia GeForce TUF-RTX4070TI GAMING RTX 4070 Ti 12GB GDDR6X,"IDR16,708,915.44",from Australia,no review
BRAND NEW SEALED BOX NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X GPU,"IDR16,465,367.65",from United Kingdom,no review
MSI NVIDIA GeForce RTX 4070 Ti VENTUS 3X DC D6X 12GB Gaming Graphics Card -Fedex,"IDR14,493,970.59","from Korea, South",no review
NEW ASUS GeForce RTX 4070 Ti TUF Gaming Graphics Card SEALED,"IDR16,161,764.71",from United States,no review
Gigabyte Nvidia Geforce Rtx 4070 Gaming Oc 12Gb Graphics Card,"IDR13,064,671.32",from United Kingdom,no review
Nvidia RTX 4090 4080 4070 4060 Deep esports gaming independent graphics card,"IDR48,352,941.18",from China,no review
emTek NVIDIA GeForce RTX 4070 Ti GAMINGPRO D6X 12GB Gaming Graphics Card - Fedex,"IDR17,030,588.24","from Korea, South",no review
